Number of scenarios;Runtime;Objective
5;0.03679656982421875;164333.2093
10;0.07795166969299316;171554.302
20;0.11177849769592285;162206.4966
50;0.2781500816345215;145595.3043
75;0.43592190742492676;142757.5151
100;0.5696442127227783;143988.64089999997
150;0.850332498550415;144747.94799999997
200;1.172297716140747;144261.7457
250;1.4572267532348633;147547.34170000002
300;1.73445463180542;147106.66859999977
400;2.3747479915618896;145478.1443999999
500;2.9677281379699707;148875.77099999998
750;4.637271881103516;151614.62320000015
1000;6.294926643371582;151806.8774000003
