Number of scenarios;Runtime;Objective
5;0.8758819103240967;6480.3097
10;1.5320823192596436;7203.023099999999
20;2.8263792991638184;8083.5529
50;7.303029537200928;8112.438700000001
75;10.995032787322998;8187.8834000000015
100;14.877265930175781;8407.679100000001
150;23.076239585876465;8490.2388
200;31.429441928863525;8573.7514
250;40.25459098815918;8460.288000000004
300;49.219704389572144;8540.516499999996
400;67.7836971282959;8621.142400000008
500;85.84203553199768;8570.749999999996
750;131.5140826702118;8575.998699999996
1000;176.72793292999268;8542.460700000001
