Number of scenarios;Runtime;Objective
5;0.1893479824066162;439410.52359999996
10;0.3130526542663574;439450.60229999997
20;0.5667107105255127;406564.42500000005
50;1.4798367023468018;420885.8161
75;2.2284374237060547;433804.06860000006
100;2.9372706413269043;441343.141
150;4.4608259201049805;443162.93490000005
200;5.990223407745361;441358.9564
250;7.52180027961731;444517.2664000002
300;9.064857006072998;445325.8304999998
400;12.216338634490967;445041.8476
500;15.278733491897583;443961.9456000003
750;23.573830604553223;441369.2352999998
1000;31.62237024307251;441258.3048999998
