Number of scenarios;Runtime;Objective
5;0.09518885612487793;1013.4405999999999
10;0.1289665699005127;751.7616999999999
20;0.25113964080810547;717.7013999999998
50;0.6216506958007812;729.8228999999999
75;0.9143009185791016;704.8793999999998
100;1.209998369216919;691.1481999999999
150;1.849968433380127;703.9524
200;2.499650239944458;706.2335999999997
250;3.1371777057647705;711.2678999999993
300;3.782146453857422;715.5891999999999
400;5.123070955276489;726.5495000000002
500;6.432265996932983;718.3525999999994
750;10.061010360717773;720.8644999999995
1000;13.780009269714355;716.7270000000011
