Number of scenarios;Runtime;Objective
5;0.5049653053283691;7850.1128
10;0.8154082298278809;7599.110000000001
20;1.5224287509918213;6387.5188
50;3.913125991821289;6720.250300000003
75;5.844159841537476;6760.193999999999
100;7.874812841415405;6779.657499999999
150;12.07506799697876;6853.7829
200;16.39335298538208;6912.196900000001
250;20.860089778900146;6920.4446
300;25.470072031021118;6835.965399999995
400;35.158677101135254;6795.550700000006
500;44.76451349258423;6818.866599999999
750;69.31191182136536;6818.886699999998
1000;94.08109951019287;6777.065599999989
