Number of scenarios;Runtime;Objective
5;0.028956174850463867;131884.102
10;0.04911184310913086;125862.914
20;0.1058659553527832;113262.8429
50;0.22359371185302734;116034.6506
75;0.3532752990722656;113657.30500000002
100;0.4339778423309326;112639.04449999996
150;0.7044377326965332;115469.53779999998
200;0.9296894073486328;116867.62360000002
250;1.1721808910369873;119258.48040000001
300;1.3934156894683838;119444.85460000005
400;1.898176670074463;120553.5515
500;2.40487003326416;120833.8301999999
750;3.7103378772735596;120489.94290000004
1000;5.136050224304199;120457.34460000004
