Number of scenarios;Runtime;Objective
5;0.5990469455718994;2302.6913999999997
10;1.0709877014160156;2227.6101
20;1.9576351642608643;2209.9257000000002
50;4.982609033584595;2161.6512999999995
75;7.456818103790283;2164.4617000000003
100;10.12700343132019;2150.1130000000007
150;15.433229207992554;2128.1267999999995
200;20.794803857803345;2082.7305
250;26.432987689971924;2106.5254999999997
300;32.31181192398071;2096.442899999999
400;44.48948812484741;2102.307500000001
500;56.6097354888916;2100.575400000002
750;87.32412648200989;2111.6189000000004
1000;117.03767490386963;2099.9662000000003
