Number of scenarios;Runtime;Objective
5;0.6276850700378418;1980.3514999999998
10;1.1172358989715576;2117.0669
20;2.064671277999878;2010.1202
50;5.379483699798584;2094.9162
75;7.997278213500977;2090.0002000000004
100;10.759682416915894;2110.925300000001
150;16.581384897232056;2118.6300999999994
200;22.518555164337158;2125.0088000000005
250;28.583713054656982;2142.6672999999996
300;34.69186782836914;2146.9420999999998
400;47.80025768280029;2136.8391
500;61.157642126083374;2131.8797999999983
750;93.57836675643921;2141.0049000000004
1000;125.0220320224762;2139.524400000003
