Number of scenarios;Runtime;Objective
5;0.424562931060791;6148.6092
10;0.7064597606658936;6143.8494
20;1.3427155017852783;6245.5044
50;3.4192817211151123;6456.6151
75;5.10084342956543;6399.631899999997
100;6.868124008178711;6408.747100000001
150;10.566468715667725;6388.708099999999
200;14.301928043365479;6404.563499999998
250;18.298895120620728;6328.688200000001
300;22.184029817581177;6392.035399999998
400;30.61118483543396;6383.7004000000015
500;38.97738575935364;6354.838199999997
750;60.47251582145691;6301.8631000000005
1000;82.00868248939514;6269.474199999987
