Number of scenarios;Runtime;Objective
5;0.042604923248291016;119995.1341
10;0.09160780906677246;119163.7362
20;0.13732504844665527;122768.63200000001
50;0.3617985248565674;119610.00120000003
75;0.5115528106689453;122469.55080000001
100;0.7081177234649658;117943.80480000004
150;1.0423977375030518;113310.8368
200;1.4364001750946045;114256.70409999994
250;1.8005256652832031;114119.4814999999
300;2.184206962585449;111971.8672
400;2.9382612705230713;110061.34889999994
500;3.6683781147003174;111271.11549999994
750;5.687960624694824;109813.25360000007
1000;7.712413787841797;109300.92869999973
