Number of scenarios;Runtime;Objective
5;0.09369945526123047;715.0391999999999
10;0.12659835815429688;674.2807
20;0.24504399299621582;700.5079999999999
50;0.603618860244751;660.0161000000002
75;0.8901247978210449;690.1888999999995
100;1.2058184146881104;708.5791999999998
150;1.8035147190093994;700.7694999999999
200;2.4035089015960693;713.9646
250;3.020157814025879;720.6580000000004
300;3.6373579502105713;720.5115000000002
400;4.869775772094727;711.8920000000003
500;6.1780102252960205;705.7848000000001
750;9.615774631500244;716.6560999999999
1000;13.122376680374146;713.5565999999994
