Number of scenarios;Runtime;Objective
5;0.5886650085449219;1889.2884
10;1.0255417823791504;2049.7302
20;1.9147512912750244;1925.8469000000002
50;4.897218704223633;2051.1597
75;7.366641044616699;2069.7067
100;9.808934450149536;2014.2781
150;15.20343279838562;2037.9232000000004
200;20.41072726249695;2015.609099999999
250;26.101558685302734;2008.0796000000005
300;31.85821270942688;2003.597099999999
400;43.62872338294983;1995.6155999999992
500;55.546321392059326;1994.3083000000006
750;85.29587125778198;2000.6786999999988
1000;114.78483176231384;1993.8453999999988
