Number of scenarios;Runtime;Objective
5;0.23015832901000977;620429.9461
10;0.38964152336120605;597020.7017999999
20;0.6981832981109619;583336.4432
50;1.7635748386383057;582224.4881999998
75;2.611725330352783;569474.7653000001
100;3.476182699203491;564457.3629999998
150;5.351281404495239;560554.5405
200;7.151947021484375;560125.0454999998
250;8.999520540237427;566412.1198000005
300;10.897132396697998;568356.6772
400;14.784193754196167;569293.4724999999
500;18.667550325393677;572344.8596000003
750;28.696678400039673;575340.6826000002
1000;38.83320116996765;578056.7297
