Number of scenarios;Runtime;Objective
5;0.03703594207763672;164333.2093
10;0.07993006706237793;171554.302
20;0.12250447273254395;162206.4966
50;0.29793810844421387;145595.3043
75;0.4718148708343506;142757.5151
100;0.6094307899475098;143988.64089999997
150;0.9136073589324951;144747.94799999997
200;1.249392032623291;144261.7457
250;1.5662047863006592;147547.34170000002
300;1.865818977355957;147106.66859999977
400;2.5515096187591553;145478.1443999999
500;3.2098841667175293;148875.77099999998
750;4.973791122436523;151614.62320000015
1000;6.782074451446533;151806.8774000003
