Number of scenarios;Runtime;Objective
5;1.455643653869629;10218.6824
10;2.540289878845215;9129.1745
20;5.023714065551758;8971.0762
50;13.115096807479858;8694.999000000002
75;20.070008277893066;8528.380400000002
100;26.936588287353516;8220.0532
150;41.813246726989746;8545.277600000001
200;57.321128606796265;8577.406300000004
250;73.77047634124756;8661.116399999994
300;90.30615019798279;8728.3514
400;122.87413430213928;8853.885700000003
500;155.46099090576172;8783.071600000003
750;236.94845414161682;8748.688900000005
1000;317.1263129711151;8755.448400000007
