Number of scenarios;Runtime;Objective
5;0.2639775276184082;601081.172
10;0.4454779624938965;517613.26240000007
20;0.9082419872283936;571268.6852000001
50;2.2320244312286377;552626.088
75;3.422499179840088;548416.5959
100;4.559422016143799;542683.654
150;6.92660117149353;551138.3177
200;9.371830701828003;544297.9447999999
250;11.83486032485962;542145.4780000002
300;14.350255489349365;540699.8906000002
400;19.495365858078003;543137.6533000002
500;24.722859382629395;545764.3589000005
750;37.72694540023804;550486.2411999997
1000;50.60549306869507;550785.3287999987
