Number of scenarios;Runtime;Objective
5;0.4624943733215332;11172.4555
10;0.7600290775299072;9678.4275
20;1.5454015731811523;9343.7829
50;3.8581132888793945;9460.532
75;5.951677322387695;10038.350299999998
100;7.920820474624634;9742.881799999997
150;12.046431303024292;9724.642700000004
200;16.414024829864502;9858.9875
250;20.850950956344604;9927.364299999996
300;25.460031032562256;9919.606900000004
400;35.175374269485474;9991.368600000007
500;44.789111375808716;9939.054099999996
750;69.72453880310059;9907.82349999999
1000;94.96134924888611;9906.18319999999
