Number of scenarios;Runtime;Objective
5;1.6730873584747314;9007.6644
10;2.936127185821533;10046.130200000001
20;5.950561285018921;10661.6298
50;15.307485103607178;10448.685299999996
75;23.489165782928467;10646.5671
100;31.854692459106445;10582.625800000003
150;49.56052541732788;10649.688399999995
200;68.1399405002594;10589.389100000004
250;87.64990878105164;10617.994099999994
300;106.59225392341614;10623.664
400;146.88580513000488;10709.475900000009
500;183.86181545257568;10637.671
750;280.06293392181396;10533.713099999988
1000;377.599369764328;10441.554700000012
