Number of scenarios;Runtime;Objective
5;2.300273895263672;5560.0022
10;4.001513719558716;5079.5876
20;8.053977489471436;4664.84
50;20.576971292495728;4638.3251
75;31.769033670425415;4513.401900000002
100;42.206517696380615;4483.826999999999
150;66.63024520874023;4432.083799999999
200;91.04075503349304;4458.880099999999
250;116.64229536056519;4446.9902
300;141.45886540412903;4445.256499999998
400;191.4061336517334;4428.558499999999
500;239.6027069091797;4424.893099999997
750;365.07281279563904;4440.6644000000015
1000;488.36523723602295;4474.701800000002
