Number of scenarios;Runtime;Objective
5;0.6364474296569824;1980.3514999999998
10;1.1184825897216797;2117.0669
20;2.212380886077881;2010.1202
50;5.661438941955566;2094.9162
75;8.664702653884888;2090.0002000000004
100;11.595459222793579;2110.925300000001
150;17.641807317733765;2118.6300999999994
200;24.29542326927185;2125.0088000000005
250;30.887953758239746;2142.6672999999996
300;37.633692264556885;2146.9420999999998
400;51.666017293930054;2136.8391
500;66.19836473464966;2131.8797999999983
750;101.16811490058899;2141.0049000000004
1000;135.84509468078613;2139.524400000003
