Number of scenarios;Runtime;Objective
5;0.18842577934265137;4697.9059
10;0.31290102005004883;5502.098
20;0.645108699798584;5985.443899999999
50;1.594651460647583;5611.879300000001
75;2.449583053588867;5683.223300000001
100;3.313894033432007;5699.9895
150;5.039363145828247;5662.412599999996
200;6.856037139892578;5855.771999999998
250;8.6568443775177;5772.6788
300;10.507455587387085;5789.811899999998
400;14.263542175292969;5816.855800000005
500;18.138680458068848;5770.762500000001
750;28.353857040405273;5749.371899999995
1000;38.60613536834717;5704.382599999998
