Number of scenarios;Runtime;Objective
5;2.375194549560547;4971.0513
10;4.228797435760498;4663.212799999999
20;8.519912958145142;4840.8994999999995
50;21.818682193756104;4819.106500000001
75;33.3308207988739;4834.931699999998
100;45.15121817588806;4839.829800000001
150;69.84791398048401;4743.696700000001
200;96.18794655799866;4735.435
250;122.69222140312195;4742.059700000002
300;148.95621132850647;4717.9309
400;202.92536449432373;4719.774799999999
500;252.9825897216797;4713.363700000002
750;384.78737020492554;4740.679000000005
1000;515.6837859153748;4746.485900000002
