Number of scenarios;Runtime;Objective
5;0.03648233413696289;184537.6921
10;0.07603096961975098;160885.874
20;0.11511683464050293;158955.45
50;0.2935609817504883;180561.72020000004
75;0.47773194313049316;195236.0150999999
100;0.615922212600708;194242.07359999997
150;0.9125716686248779;198274.8724
200;1.259617805480957;201272.85970000006
250;1.5591962337493896;199699.9882
300;1.9068045616149902;199303.3582999999
400;2.5616559982299805;199020.68070000003
500;3.2494029998779297;200024.6982999999
750;5.068145751953125;200974.69959999988
1000;6.952746152877808;201663.0513000002
