Number of scenarios;Runtime;Objective
5;0.806185245513916;7287.6831
10;1.3729989528656006;7106.1979
20;2.755643606185913;7154.420900000001
50;6.978592157363892;7360.6191
75;10.668308019638062;7403.173599999999
100;14.320796728134155;7430.500900000001
150;21.83949899673462;7459.943299999997
200;30.014915466308594;7503.700099999999
250;38.43410682678223;7606.296999999999
300;47.06217002868652;7515.399600000003
400;64.47776651382446;7560.6155
500;81.55582165718079;7645.929000000005
750;124.63348054885864;7748.1512999999995
1000;168.13085317611694;7727.2055999999975
