Number of scenarios;Runtime;Objective
5;0.058164358139038086;117195.0356
10;0.12928414344787598;119163.7362
20;0.20613718032836914;122768.63200000001
50;0.5285515785217285;119610.00120000003
75;0.7823812961578369;122469.55080000001
100;1.047363042831421;117943.80480000004
150;1.5821533203125;113310.8368
200;2.1317460536956787;114256.70409999994
250;2.678044080734253;114119.4814999999
300;3.2335245609283447;111971.8672
400;4.335907697677612;110061.34889999994
500;5.532428503036499;111271.11549999994
750;8.580133199691772;109813.25360000007
1000;11.8080153465271;109300.92869999973
