Number of scenarios;Runtime;Objective
5;0.3604292869567871;593695.275
10;0.683906078338623;508471.8047
20;1.3724446296691895;564274.8875
50;3.474440097808838;548086.9647000002
75;5.230231046676636;544905.0933000002
100;7.038122177124023;539910.2226999998
150;10.718523502349854;548292.2196000001
200;14.44157361984253;541857.288
250;18.263133764266968;539030.4136999999
300;22.032464742660522;538053.8706
400;30.081539630889893;541030.1500000003
500;38.03156113624573;543447.8260999998
750;58.4943585395813;550486.2411999997
1000;78.86722254753113;548750.2090000001
