Number of scenarios;Runtime;Objective
5;0.19681882858276367;323485.7002
10;0.3705277442932129;362717.96180000005
20;0.7277719974517822;371108.6786
50;1.852677583694458;388336.2199999999
75;2.8092117309570312;404271.12169999984
100;3.7730226516723633;401129.76139999984
150;5.686842918395996;404760.6341999999
200;7.7057013511657715;405372.24560000026
250;9.674913883209229;405832.1250000003
300;11.713978290557861;406752.15579999983
400;15.686809062957764;396808.64219999994
500;19.77501130104065;393654.6577999998
750;30.408316135406494;390883.3184000002
1000;41.670409202575684;391770.55189999973
