Number of scenarios;Runtime;Objective
5;2.388162136077881;8994.7153
10;4.645512342453003;10040.6039
20;9.428017616271973;10663.626
50;24.0552875995636;10447.801600000003
75;36.55618762969971;10645.418700000004
100;49.71300411224365;10582.625800000003
150;77.00154829025269;10649.688399999995
200;105.94625926017761;10589.389100000004
250;136.24658679962158;10617.994099999994
300;165.6804609298706;10623.664
400;226.6986334323883;10709.475900000009
500;284.2334988117218;10637.671
750;434.9680058956146;10533.713099999988
1000;586.9397177696228;10441.554700000012
