Number of scenarios;Runtime;Objective
5;0.058982133865356445;114213.8974
10;0.12711763381958008;104015.29009999998
20;0.2080996036529541;98708.75399999999
50;0.5335347652435303;90894.18639999999
75;0.784165620803833;90642.73920000001
100;1.062638282775879;93549.42370000006
150;1.5982213020324707;91535.37050000002
200;2.170379400253296;92579.5308
250;2.756335973739624;93427.50370000003
300;3.2870917320251465;93916.61410000005
400;4.514822959899902;94499.36969999997
500;5.699721574783325;95274.05349999995
750;8.831886291503906;94680.37589999996
1000;12.148129940032959;94040.334
