Number of scenarios;Runtime;Objective
5;0.12700271606445312;653.7091999999999
10;0.19009852409362793;633.851
20;0.3837728500366211;675.0156
50;0.9610438346862793;655.0798000000001
75;1.452411413192749;690.3920999999999
100;1.9466111660003662;709.0077000000001
150;2.882833480834961;700.7694999999999
200;3.902290105819702;713.9646
250;4.952421426773071;720.6580000000004
300;5.9903693199157715;720.5469000000003
400;8.065417289733887;711.8920000000003
500;10.260038614273071;705.4218999999994
750;16.12498140335083;716.3924999999996
1000;22.152462482452393;709.5497
