Number of scenarios;Runtime;Objective
5;0.830913782119751;2268.6227
10;1.5831279754638672;2204.3705999999997
20;3.143686056137085;2209.9257000000002
50;7.921739101409912;2161.6512999999995
75;12.041444063186646;2164.4617000000003
100;16.1608304977417;2146.6598999999997
150;24.721505165100098;2123.971899999999
200;33.3818039894104;2079.310200000001
250;42.73339533805847;2102.3021
300;51.90193462371826;2092.8085999999994
400;71.3116683959961;2097.9136
500;91.21466732025146;2095.5908
750;140.81042790412903;2107.1704999999984
1000;189.78084206581116;2096.0344000000014
