Number of scenarios;Runtime;Objective
5;0.9060506820678711;6480.3097
10;1.8233671188354492;7203.023099999999
20;3.65207839012146;8083.5529
50;9.167799711227417;8112.438700000001
75;14.034989833831787;8187.8834000000015
100;18.933636903762817;8407.679100000001
150;29.474097967147827;8490.2388
200;40.067091941833496;8573.7514
250;51.32456684112549;8460.288000000004
300;62.39025592803955;8540.516499999996
400;86.58819150924683;8621.142400000008
500;109.26864123344421;8570.749999999996
750;167.7686643600464;8575.998699999996
1000;225.69019484519958;8542.460700000001
