Number of scenarios;Runtime;Objective
5;1.6953403949737549;9007.6644
10;3.3743457794189453;10046.130200000001
20;6.869941234588623;10661.6298
50;17.77667808532715;10448.685299999996
75;27.046356201171875;10646.5671
100;36.77223563194275;10582.625800000003
150;57.07500672340393;10649.688399999995
200;78.66952252388;10589.389100000004
250;100.55805277824402;10617.994099999994
300;122.9493260383606;10623.664
400;168.46193647384644;10709.475900000009
500;211.35374903678894;10637.671
750;322.70432329177856;10533.713099999988
1000;433.4429898262024;10441.554700000012
