Number of scenarios;Runtime;Objective
5;0.6106700897216797;1980.3514999999998
10;1.2392909526824951;2117.0669
20;2.4533519744873047;2010.1202
50;6.289377450942993;2094.9162
75;9.626115560531616;2090.0002000000004
100;12.92861557006836;2110.925300000001
150;19.737944841384888;2118.6300999999994
200;26.854832410812378;2125.0088000000005
250;34.317567110061646;2142.6672999999996
300;41.70892143249512;2146.9420999999998
400;57.4476752281189;2136.8391
500;72.93775153160095;2131.8797999999983
750;112.35086441040039;2141.0049000000004
1000;150.82653164863586;2139.524400000003
