Number of scenarios;Runtime;Objective
5;0.07546257972717285;146781.8466
10;0.14388537406921387;169340.55870000002
20;0.3104414939880371;180044.5872
50;0.7304239273071289;173434.9494
75;1.1172711849212646;172319.82400000002
100;1.4917798042297363;172467.33610000004
150;2.265516519546509;176361.64050000004
200;3.02759051322937;180074.31370000012
250;3.7909579277038574;180543.2673
300;4.572264909744263;182049.85640000002
400;6.217071294784546;181126.02930000005
500;7.854121685028076;180168.9114000001
750;12.08236289024353;180843.6778000003
1000;16.462555408477783;180550.88120000032
