Number of scenarios;Runtime;Objective
5;0.18666410446166992;4697.9059
10;0.3710286617279053;5502.098
20;0.7348616123199463;5985.443899999999
50;1.8715415000915527;5611.879300000001
75;2.8191585540771484;5683.223300000001
100;3.8494467735290527;5699.9895
150;5.831990480422974;5662.412599999996
200;7.930261135101318;5855.771999999998
250;10.005339860916138;5772.6788
300;12.177776098251343;5789.811899999998
400;16.578684329986572;5816.855800000005
500;20.959542274475098;5770.762500000001
750;32.659908294677734;5749.371899999995
1000;44.762250900268555;5704.382599999998
