Number of scenarios;Runtime;Objective
5;0.052663326263427734;235624.11729999998
10;0.11324095726013184;191903.1106
20;0.19086790084838867;167556.1098
50;0.4955899715423584;158712.97040000005
75;0.7287700176239014;162990.92669999998
100;0.972217321395874;161432.46729999996
150;1.4715940952301025;158671.21810000003
200;2.004680633544922;157797.56920000009
250;2.503182888031006;157627.67490000004
300;3.0071020126342773;159201.31620000006
400;4.091020107269287;158691.5513999999
500;5.196586847305298;158865.01390000002
750;8.061827421188354;157874.3555000001
1000;11.064135074615479;158279.56919999994
