Number of scenarios;Runtime;Objective
5;0.11553645133972168;195470.9698
10;0.18681836128234863;187806.53750000003
20;0.35404181480407715;167894.2583
50;0.9163904190063477;165247.92849999998
75;1.3842875957489014;162079.4463
100;1.8704054355621338;161732.08139999988
150;2.7783608436584473;162526.8151000001
200;3.77754282951355;163632.2082
250;4.72233772277832;166286.1284999999
300;5.65800929069519;164098.52210000018
400;7.6612021923065186;163253.59089999995
500;9.667083978652954;163094.87539999984
750;14.872135639190674;163339.05620000017
1000;20.14907932281494;161921.67969999986
