Number of scenarios;Runtime;Objective
5;0.04360246658325195;119995.1341
10;0.1004025936126709;119163.7362
20;0.1653425693511963;122768.63200000001
50;0.40489721298217773;119610.00120000003
75;0.6304523944854736;122469.55080000001
100;0.8467400074005127;117943.80480000004
150;1.2452263832092285;113310.8368
200;1.7168290615081787;114256.70409999994
250;2.1184051036834717;114119.4814999999
300;2.5781655311584473;111971.8672
400;3.475289821624756;110061.34889999994
500;4.3798487186431885;111271.11549999994
750;6.762352228164673;109813.25360000007
1000;9.247081995010376;109300.92869999973
