Number of scenarios;Runtime;Objective
5;0.4220921993255615;6148.6092
10;0.8217606544494629;6143.8494
20;1.6690728664398193;6245.5044
50;4.211596965789795;6456.6151
75;6.3927037715911865;6399.631899999997
100;8.582379817962646;6408.747100000001
150;13.478046655654907;6388.708099999999
200;18.32525086402893;6404.563499999998
250;23.186546325683594;6328.688200000001
300;28.002025842666626;6392.035399999998
400;38.24709606170654;6383.7004000000015
500;49.721214294433594;6354.838199999997
750;75.92681002616882;6301.8631000000005
1000;104.48990511894226;6269.474199999987
