Number of scenarios;Runtime;Objective
5;0.08471846580505371;171906.2155
10;0.1638779640197754;193659.8694
20;0.3423302173614502;160953.30060000002
50;0.7991828918457031;151994.1872
75;1.2065849304199219;153017.68249999997
100;1.6204254627227783;157248.93180000002
150;2.462942123413086;158692.51419999998
200;3.3235905170440674;159166.50640000004
250;4.124811410903931;162112.52139999997
300;4.990133285522461;162133.86919999987
400;6.694952964782715;161643.43970000008
500;8.454021453857422;162504.95220000003
750;13.02834153175354;163953.41399999976
1000;17.557637453079224;163424.99110000004
