Number of scenarios;Runtime;Objective
5;0.07676863670349121;114213.8974
10;0.14841866493225098;104015.29009999998
20;0.29590892791748047;98708.75399999999
50;0.750267744064331;90894.18639999999
75;1.123990774154663;90642.73920000001
100;1.531036376953125;93549.42370000006
150;2.3007805347442627;91535.37050000002
200;3.1186721324920654;92579.5308
250;3.9081296920776367;93427.50370000003
300;4.691019773483276;93916.61410000005
400;6.347656965255737;94499.36969999997
500;8.04892635345459;95274.05349999995
750;12.429938077926636;94680.37589999996
1000;16.959518909454346;94040.334
