Number of scenarios;Runtime;Objective
5;1.5523004531860352;7288.0533
10;3.2408292293548584;7101.5918
20;6.562873840332031;7154.420900000001
50;16.87023377418518;7360.6191
75;25.748849868774414;7402.754100000001
100;34.75347185134888;7430.1504
150;53.39553236961365;7459.526899999999
200;73.18898463249207;7503.0280999999995
250;93.57241320610046;7605.7006
300;113.60127472877502;7514.814600000003
400;158.19655013084412;7560.134700000005
500;201.01714324951172;7645.448700000007
750;310.9324562549591;7747.636400000008
1000;418.54717111587524;7726.706999999999
