Number of scenarios;Runtime;Objective
5;1.284501552581787;1951.1841
10;2.6440353393554688;2109.078
20;5.423933744430542;2000.8143000000002
50;13.840798377990723;2082.2826000000005
75;20.99099063873291;2080.4121999999998
100;28.5800838470459;2102.015799999999
150;43.57943844795227;2109.797900000002
200;59.187664270401;2117.9319
250;75.20503354072571;2135.1635000000015
300;91.36408925056458;2139.5064000000016
400;126.23607754707336;2130.259600000001
500;161.23213458061218;2125.397300000002
750;252.21281385421753;2134.635200000001
1000;339.27822041511536;2133.849700000003
