Number of scenarios;Runtime;Objective
5;0.3394343852996826;4667.588299999999
10;0.7102155685424805;5489.6819000000005
20;1.4414210319519043;5979.227099999999
50;3.6386349201202393;5607.679899999999
75;5.487694978713989;5678.636499999997
100;7.435846567153931;5694.2997
150;11.21482229232788;5658.747999999998
200;15.326257467269897;5849.958200000001
250;19.36654758453369;5770.7914
300;23.49590301513672;5786.426800000003
400;32.176878452301025;5813.011699999998
500;41.047847509384155;5764.054099999991
750;63.6901421546936;5742.835900000005
1000;87.293612241745;5698.105399999987
