Number of scenarios;Runtime;Objective
5;5.279339790344238;6515.8915
10;10.774646520614624;6553.4526000000005
20;22.033539533615112;6341.8779
50;57.35292935371399;6078.0827
75;87.86221027374268;6141.305999999997
100;119.27079653739929;6146.009200000001
150;185.32001042366028;6150.339
200;254.13193202018738;6253.996799999998
250;322.85134840011597;6202.065699999997
300;398.8053021430969;6147.415699999999
400;536.6821284294128;6173.871199999996
500;674.4627597332001;6178.251699999996
750;1015.8099439144135;6155.223999999998
1000;1324.7128188610077;6174.822100000001
