Number of scenarios;Runtime;Objective
5;4.926978349685669;5558.024899999999
10;10.055838823318481;5067.1984
20;20.394327640533447;4649.719500000001
50;52.93925142288208;4628.9606
75;80.62863826751709;4504.3075
100;109.82173585891724;4475.0713
150;170.42704820632935;4421.6666
200;234.4947624206543;4448.001
250;299.7232687473297;4435.645600000001
300;367.1397008895874;4442.604799999998
400;499.59423327445984;4417.538
500;631.7852830886841;4421.169699999997
750;949.6112110614777;4437.410000000002
1000;1273.4889929294586;4471.6876
