Number of scenarios;Runtime;Objective
5;0.15071702003479004;146781.8466
10;0.26090312004089355;169340.55870000002
20;0.5489041805267334;180044.5872
50;1.409532070159912;173434.9494
75;2.101235866546631;172319.82400000002
100;2.8053269386291504;172467.33610000004
150;4.261073350906372;176361.64050000004
200;5.766695022583008;180074.31370000012
250;7.23337984085083;180543.2673
300;8.78125;182049.85640000002
400;11.8081955909729;181126.02930000005
500;14.912327766418457;180168.9114000001
750;22.96893548965454;180843.6778000003
1000;31.345243215560913;180550.88120000032
