Number of scenarios;Runtime;Objective
5;0.26587438583374023;323485.7002
10;0.5317652225494385;362717.96180000005
20;1.0608348846435547;371108.6786
50;2.7037129402160645;388336.2199999999
75;4.116453409194946;404271.12169999984
100;5.536318302154541;401129.76139999984
150;8.338057041168213;404760.6341999999
200;11.138473987579346;405372.24560000026
250;14.109833478927612;405832.1250000003
300;16.9855797290802;406752.15579999983
400;22.985482931137085;396808.64219999994
500;28.94866442680359;393654.6577999998
750;44.3792839050293;390883.3184000002
1000;60.04697132110596;391770.55189999973
