Number of scenarios;Runtime;Objective
5;0.19113826751708984;195470.9698
10;0.34743404388427734;187806.53750000003
20;0.7127065658569336;167894.2583
50;1.7980265617370605;165247.92849999998
75;2.7294909954071045;162079.4463
100;3.630823850631714;161732.08139999988
150;5.431818962097168;162526.8151000001
200;7.372871160507202;163632.2082
250;9.26240587234497;166286.1284999999
300;11.10349154472351;164098.52210000018
400;14.999566555023193;163253.59089999995
500;18.854079008102417;163094.87539999984
750;29.01372241973877;163339.05620000017
1000;39.292985677719116;161921.67969999986
