Number of scenarios;Runtime;Objective
5;0.15799427032470703;620429.9461
10;0.2934081554412842;597020.7017999999
20;0.568056583404541;583336.4432
50;1.4600794315338135;582224.4881999998
75;2.1980061531066895;569474.7653000001
100;2.939673662185669;564457.3629999998
150;4.425177097320557;560554.5405
200;5.986213684082031;560125.0454999998
250;7.54275918006897;566412.1198000005
300;9.137229442596436;568356.6772
400;12.438759803771973;569293.4724999999
500;15.805787324905396;572344.8596000003
750;24.42971158027649;575340.6826000002
1000;33.50554394721985;578056.7297
