Number of scenarios;Runtime;Objective
5;0.28940248489379883;6148.6092
10;0.5697677135467529;6143.8494
20;1.1536810398101807;6245.5044
50;2.922603130340576;6456.6151
75;4.396860122680664;6399.631899999997
100;5.910518169403076;6408.747100000001
150;8.900089740753174;6388.708099999999
200;12.11845850944519;6404.563499999998
250;15.285836935043335;6328.688200000001
300;18.57725501060486;6392.035399999998
400;25.43619465827942;6383.7004000000015
500;32.36424517631531;6354.838199999997
750;51.073219537734985;6301.8631000000005
1000;71.46271395683289;6269.474199999987
