Number of scenarios;Runtime;Objective
5;0.017374277114868164;131884.102
10;0.03367781639099121;125862.914
20;0.08138680458068848;113262.8429
50;0.1589202880859375;116034.6506
75;0.2394707202911377;113657.30500000002
100;0.33855438232421875;112639.04449999996
150;0.4856374263763428;115469.53779999998
200;0.6836512088775635;116867.62360000002
250;0.8556468486785889;119258.48040000001
300;1.0382869243621826;119444.85460000005
400;1.3789169788360596;120553.5515
500;1.7768700122833252;120833.8301999999
750;2.7860589027404785;120489.94290000004
1000;3.8062493801116943;120457.34460000004
