Number of scenarios;Runtime;Objective
5;0.022843599319458008;164333.2093
10;0.04218316078186035;171554.302
20;0.0834195613861084;162206.4966
50;0.2064828872680664;145595.3043
75;0.31108713150024414;142757.5151
100;0.4381253719329834;143988.64089999997
150;0.656822681427002;144747.94799999997
200;0.8709185123443604;144261.7457
250;1.0894849300384521;147547.34170000002
300;1.3296899795532227;147106.66859999977
400;1.8046600818634033;145478.1443999999
500;2.3139593601226807;148875.77099999998
750;3.538147211074829;151614.62320000015
1000;4.921513795852661;151806.8774000003
