Number of scenarios;Runtime;Objective
5;1.852626085281372;4910.3075
10;3.703843355178833;4972.909499999999
20;7.2240681648254395;4885.161800000001
50;18.610045433044434;4873.315700000001
75;28.174431324005127;4798.5788999999995
100;38.22396183013916;4763.7786000000015
150;59.080641984939575;4717.7537999999995
200;80.56339621543884;4754.210199999999
250;102.38775205612183;4784.844300000001
300;125.5589394569397;4781.506500000001
400;172.9335548877716;4789.144800000003
500;221.11946034431458;4782.830799999998
750;326.56307792663574;4743.4089
1000;447.4972188472748;4736.293199999994
