Number of scenarios;Runtime;Objective
5;1.9214153289794922;6534.831900000001
10;3.7483859062194824;6556.9524
20;7.607378244400024;6341.999899999998
50;19.425270080566406;6078.0827
75;29.287536144256592;6141.305999999997
100;40.56552195549011;6146.009200000001
150;62.19813513755798;6150.339
200;84.23953914642334;6253.996799999998
250;107.92121696472168;6202.065699999997
300;130.2938938140869;6147.415699999999
400;180.534348487854;6173.871199999996
500;229.62518048286438;6178.251699999996
750;356.08760237693787;6155.223999999998
1000;486.8722400665283;6174.822100000001
