Number of scenarios;Runtime;Objective
5;0.05587506294250488;171906.2155
10;0.12623190879821777;193659.8694
20;0.2163558006286621;160953.30060000002
50;0.5608315467834473;151994.1872
75;0.845527172088623;153017.68249999997
100;1.1172103881835938;157248.93180000002
150;1.6938269138336182;158692.51419999998
200;2.275803565979004;159166.50640000004
250;2.8601043224334717;162112.52139999997
300;3.4775993824005127;162133.86919999987
400;4.617254018783569;161643.43970000008
500;5.8524010181427;162504.95220000003
750;9.042807817459106;163953.41399999976
1000;12.239017724990845;163424.99110000004
