Number of scenarios;Runtime;Objective
5;1.1001243591308594;10587.8141
10;2.1919031143188477;11433.2793
20;4.426722288131714;11137.9885
50;11.257205724716187;11416.5213
75;17.06656551361084;11196.735099999994
100;23.07116389274597;10925.438900000001
150;35.42696809768677;10925.509299999992
200;48.24584913253784;10896.164799999999
250;61.13970398902893;10887.761500000004
300;75.12753391265869;10968.781499999994
400;102.92549395561218;10849.896799999995
500;133.1257894039154;10856.87280000001
750;209.487939119339;10868.118999999995
1000;287.60854983329773;10830.362000000001
