Number of scenarios;Runtime;Objective
5;0.19002509117126465;601081.172
10;0.3631892204284668;517613.26240000007
20;0.7161929607391357;571268.6852000001
50;1.8132946491241455;552626.088
75;2.7155044078826904;548416.5959
100;3.637620210647583;542683.654
150;5.544541120529175;551138.3177
200;7.489233493804932;544297.9447999999
250;9.365275621414185;542145.4780000002
300;11.408857107162476;540699.8906000002
400;15.418498039245605;543137.6533000002
500;19.562252044677734;545764.3589000005
750;30.19810938835144;550486.2411999997
1000;41.36668252944946;550785.3287999987
